BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
20-84471,False,False,True,False,False,False,
19-142946,False,False,True,False,False,False,
19-144480,True,False,False,False,False,False,
19-144505,True,False,False,False,False,False,
19-148118,False,False,False,False,False,False,commune
19-185758,False,False,False,False,True,False,
20-11558,False,False,False,False,False,False,Etablissement Public National
20-219,False,False,True,False,False,False,
20-24298,True,False,False,False,False,False,
20-27447,False,False,False,False,False,False,EPS
20-30704,False,False,False,False,True,False,
20-35845,False,False,True,False,False,False,
20-36525,True,False,False,False,False,False,
20-37605,True,False,False,False,False,False,
20-384,True,False,False,False,False,False,
20-42951,False,False,True,False,False,False,
20-44852,True,False,False,False,False,False,
20-50609,False,False,True,False,False,False,
15-46969,False,False,False,False,False,False,CHU
20-2685,False,False,True,False,False,False,
20-54792,True,False,False,False,False,False,
20-55767,False,False,False,False,True,False,
20-56066,False,False,True,False,False,False,
20-56144,True,False,False,False,False,False,
20-57203,False,False,True,False,False,False,
20-57249,False,False,True,False,False,False,
20-57265,False,False,True,False,False,False,
20-57340,False,False,True,False,False,False,
20-57872,True,False,False,False,False,False,
20-58487,False,False,True,False,False,False,
20-58512,True,False,False,False,False,False,
20-58716,False,False,False,False,False,False,Collectivité territoriale
20-58844,False,False,True,False,False,False,
20-58931,True,False,False,False,False,False,
20-59754,False,False,True,False,False,False,
20-60055,False,False,False,False,True,False,
20-60731,False,False,False,True,False,False,
20-61044,False,False,False,False,True,False,
20-61222,True,False,False,False,False,False,
20-61272,True,False,False,False,False,False,
20-62004,False,False,False,False,True,False,
20-62906,False,False,False,False,True,False,
20-63053,False,False,True,False,False,False,
20-64357,False,False,True,False,False,False,
20-65092,False,False,False,False,False,False,Collectivité territoriale à statut particulier
20-65477,False,False,False,False,False,False,Etablissement de santé
20-65502,True,False,False,False,False,False,
20-65844,False,False,True,False,False,False,
20-66166,False,False,False,False,True,False,
20-66320,False,False,False,False,True,False,
20-66414,False,False,False,False,False,False,autre
20-66456,True,False,False,False,False,False,
20-66601,False,False,False,False,False,False,"Syndicat mixte, Collectivité territoriale"
20-66639,False,False,True,False,False,False,
20-67288,False,False,False,False,False,False,OPH
20-67347,False,False,True,False,False,False,
20-67765,False,False,False,False,False,False,EPSMD
20-68887,False,False,False,False,True,False,
20-69034,True,False,False,False,False,False,
20-69464,False,False,True,False,False,False,
20-69475,False,False,True,False,False,False,
20-69676,False,False,True,False,False,False,
20-69842,False,False,True,False,False,False,
20-69868,False,False,False,False,False,False,collectivité territoriale
20-69895,False,False,True,False,False,False,
20-70506,False,False,True,False,False,False,
20-70583,False,False,False,False,False,False,établissement de santé
20-70624,True,False,False,False,False,False,
20-70822,False,False,True,False,False,False,
20-71140,False,False,True,False,False,False,
20-71558,False,False,False,False,False,False,communauté de communes
20-71638,False,False,False,False,True,False,
20-72780,False,False,False,False,False,False,Etablissement public de santé
20-73168,False,False,True,False,False,False,
20-73289,False,False,True,False,False,False,
20-73758,False,False,True,False,False,False,
20-73822,False,False,True,False,False,False,
20-73881,False,False,True,False,False,False,
20-73904,True,False,False,False,False,False,
20-73919,False,False,True,False,False,False,
20-73954,False,False,False,False,True,False,
20-73962,False,False,False,False,False,False,Etablissement public de santé
20-74063,False,False,False,False,False,False,Etablissement public de santé
20-74106,False,False,False,False,True,False,
20-74182,False,False,False,False,True,False,
20-74276,True,False,False,False,False,False,
20-74545,False,False,True,False,False,False,
20-74772,False,False,True,False,False,False,
20-74773,False,False,False,False,False,False,Etablissement de santé
20-74784,False,False,False,True,False,False,
20-74871,False,False,False,False,False,False,organisme de Sécurité sociale
20-74913,False,False,True,False,False,False,
20-75357,True,False,False,False,False,False,
20-75359,False,False,False,False,False,False,collectivité territoriale à statut particulier
20-75385,False,False,True,False,False,False,
20-75419,False,False,True,False,False,False,
20-75461,False,False,True,False,False,False,
20-75463,False,False,True,False,False,False,
20-75527,False,False,False,True,False,False,
20-75650,False,False,True,False,False,False,
20-75669,False,False,False,False,False,False,collectivité territoriale
20-76008,False,False,False,False,True,False,
20-76163,False,False,True,False,False,False,
20-76211,False,False,False,False,False,False,collectivité territoriale
20-76258,True,False,False,False,False,False,
20-76271,True,False,False,False,False,False,
20-76298,False,False,False,False,True,False,
20-76474,True,False,False,False,False,False,
20-76784,False,False,True,False,False,False,
20-76789,False,False,True,False,False,False,
20-77010,False,False,True,False,False,False,
20-77264,False,False,False,False,False,False,Syndicat mixte départemental d'étude et de traitement des déchets ménagers et assimilés de la Vendée
20-77452,True,False,False,False,False,False,
20-77565,False,False,True,False,False,False,
20-77608,False,False,True,False,False,False,
20-77613,False,False,True,False,False,False,
20-78009,False,False,True,False,False,False,
20-78068,False,False,True,False,False,False,
20-78096,True,False,False,False,False,False,
20-78146,False,False,True,False,False,False,
20-78167,True,False,False,False,False,False,
20-78244,False,False,True,False,False,False,
20-78295,False,False,False,False,True,False,
20-78394,False,False,True,False,False,False,
20-78399,False,False,True,False,False,False,
20-78429,False,False,True,False,False,False,
20-78624,False,False,False,False,True,False,
20-78683,False,False,False,False,False,False,collectivité territoriale
20-78769,False,False,False,False,True,False,
20-78777,False,False,True,False,False,False,
20-78818,False,False,False,True,False,False,
20-78991,False,False,True,False,False,False,
20-79008,False,False,True,False,False,False,
20-79052,False,False,True,False,False,False,
20-79081,False,False,False,False,True,False,
20-79367,False,False,True,False,False,False,
20-79376,False,False,False,False,False,False,Collectivité territoriale à statut particulier
20-79379,False,False,False,False,False,False,Métropole
20-79406,False,False,False,False,True,False,
20-79477,False,False,True,False,False,False,
20-79480,False,False,False,False,True,False,
20-79530,False,False,True,False,False,False,
20-79551,False,False,False,False,True,False,
20-79574,False,False,True,False,False,False,
20-79618,True,False,False,False,False,False,
20-79713,False,False,True,False,False,False,
20-79880,False,False,True,False,False,False,
20-80017,False,False,False,False,False,False,Collectivité territoriale à statut particulier
20-80023,False,False,True,False,False,False,
20-80033,True,False,False,False,False,False,
20-80067,False,False,False,False,True,False,
20-80087,False,False,False,False,False,False,COLLECTIVITE TERRITORIALE
20-80228,True,False,False,False,False,False,
20-80289,False,False,False,False,False,False,EPCI
20-80293,False,False,False,False,True,False,
20-80305,False,False,False,False,False,False,EPCI
20-80327,False,False,True,False,False,False,
