BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
20-84471,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-89659,Sans objet.,"Les règlements ont lieu par virement, selon un délai global de paiement de 30 jours. Financement : budget propre du SIMOUV.L'accord-cadre est conclu à prix unitaires, fermes, non révisables et non actualisables pour la durée de l'accord-cadre.",cf. Règlement de la consultation.,False,False,,False,True,False,CF_NIV_SUIV,,
20-11558,,,,True,False,,False,False,False,CF_NIV_SUIV,['FR'],
20-18068,,Financement sur fonds propres de l'EPF. Les prestations seront rémunérées dans les conditions fixées par les règles de comptabilité publique. Les sommes dues en exécution du présent marché sont payées dans un délai de 30 jours par virement.,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
20-18170,,"Le financement est assuré exclusivement par des ressources budgétaires propres au ministère des armées.Le régime des paiements (versements d'avance, acomptes, soldes ...) est conforme aux dispositions des articles L 2391-2 à L 2392-10, R 2391-1 à R 2391-7, R 2391-12 à R 2391-28, R 2393-24 à R 2393-40 du code de la commande publique.Le délai de paiement est de 30 jours maximum et mis en oeuvre conformément aux articles R. 2392-10, R. 2392-12 et D. 2392-11 du code de la commande publique. Le mode de règlement est le virement. Le comptable assignataire est :L'Agent comptable des services industriels de l'armement (Acsia)Le Vendôme III11 rue du Rempart93 196 Noisy-Le-Grand Cedex.","cf. Articles R 2342-12 à R 2342-15 du code de la Commande publique.Les candidats doivent indiquer dans leur candidature s'ils se présentent en tant que candidat individuel ou groupement d'opérateurs économiques.La forme du groupement n'est pas imposée. Toutefois si le candidat se présente sous la forme d'un groupement conjoint, le mandataire devra être solidaire, pour l'exécution de l'accord-cadre, de chacun des membres du groupement, pour ses obligations contractuelles à l'égard de l'acheteur.Il est interdit aux candidats de présenter pour l'accord-cadre plusieurs offres en agissant à la fois:1) en qualité de candidats individuels et de membres d'un ou plusieurs groupements;2) en qualité de membres de plusieurs groupements.La composition des groupements ne peut pas être modifiée entre la candidature et la remise de l'offre.",False,False,,False,False,False,CF_NIV_SUIV,['FR'],
20-21108,Retenue de garantie de 5%,Les paiements se feront par virement administratif sous 30 jours à réception de la facture.,Entreprise séparée ou groupement d'entreprises avec solidarité du mandataire,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
20-23002,,"Le financement est assuré exclusivement par des ressources budgétaires propres au ministère des armées.Le régime des paiements (versements d'avance, acomptes, soldes ...) est conforme aux dispositions des articles L 2391-2 à L 2392-10, R 2391-1 à R 2391-10, R 2391-16 à R 2391-28, R 2393-24 à R 2393-40 du code de la commande publiqueLe type et la forme de prix des prestations seront : forfaitairesPour le poste 1 et 2 : fermes actualisablesLe délai de paiement est de 30 jours maximum et mis en oeuvre conformément aux articles R 2392-10 à R 2392-12 et D 2392-11 ducode de la commande publique. Le mode de règlement est le virement. Le comptable assignataire est :L'Agent comptable des services industriels de l'armement (Acsia)Le Vendôme III11, rue du Rempart93 196 Noisy-Le Grand Cedex.","Cf. Articles R 2342-12 à R 2342-15 du code de la Commande publique.Les candidats doivent indiquer dans leur dossier de candidature s'ils se présentent en tant que candidat individuel ou en tant quegroupement d'opérateurs économiques.La forme du groupement n'est pas imposée. Toutefois si le candidat se présente sous la forme d'un groupement conjoint, lemarché/l'accord-cadre prévoira que le mandataire sera solidaire pour l'exécution du marché, de chacun des membres du groupementpour ses obligations contractuelles à l'égard de l'acheteur.Il est interdit aux candidats de présenter pour le marché plusieurs offres en agissant à la fois :1° en qualité de candidats individuels et de membres d'un ou plusieurs groupements ;2° en qualité de membres de plusieurs groupements.La composition des groupements ne peut pas être modifiée entre la candidature et la remise de l'offre.En outre, la composition des groupements peut être modifiée, et il est possible d'en constituer de nouveaux jusqu'à la date designature du marché public en cas d'opération de restructuration de société, notamment de rachat, de fusion ou d'acquisition, ou si legroupement apporte la preuve qu'un de ses membres se trouve dans l'impossibilité d'accomplir sa tâche pour des raisons qui ne sontpas de son fait. Toutefois le groupement devra demander à l'acheteur l'autorisation de continuer à participer à la procédure depassation en proposant, le cas échéant, à son acceptation un ou plusieurs nouveaux membres du groupement, sous-contractants ouentreprises liées. L'acheteur se prononcera après examen de la capacité de l'ensemble des membres du groupement ainsi transformé.",False,False,"Conformément à l'article R 2351-14 du code de la commande publique, les documents de la consultation comporteront des exigences relatives à la sécurité des informations.",False,False,False,CF_NIV_SUIV,['FR'],
20-25058,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
20-27055,,,"En application de l'article R.2142-23 du Code de la commande publique, une même personne ne peut représenter plus dun candidat pour un même marché public.Aucune forme de groupement n'est imposée par l'entité adjudicatrice.En cas d'attribution du marché à un groupement conjoint, le mandataire du groupement est solidaire, pour l'exécution du marché, de chacun des membres du groupement pour ses obligations contractuelles en application de l'article R. 2142-24 du Code de la commande publique.",True,False,,True,False,False,CF_NIV_SUIV,['FR'],
20-27481,,Le délai global de paiement des prestations est fixé à 30 jours.,"Le marché pourra être attribué à une seule entreprise regroupant les compétences ci-après ou à un groupement d'entreprises dont le mandataire sera la personne chargée de la compétence architecture.Si le marché est attribué à un groupement conjoint, le mandataire conjoint sera solidaire de chacun des membres du groupement.Il est fait interdiction aux candidats de présenter pour le marché plusieurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements ou en qualité de membres de plusieurs groupements.",False,False,,False,True,False,CF_NIV_SUIV,,
