BOAMP_AVIS_NUM,D_21_01_Annexed4_Infructueux,D_21_02_Annexed4_Raisonstechniques,D_21_03_Annexed4_Raisonsartistiques,D_21_04_Annexed4_Raisonsexclusivites,D_21_05_Annexed4_Proprieteintellectuelle,D_21_06_Annexed4_Horsscope,D_21_07_Annexed4_Explication
20-149089,False,False,False,False,,True,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">ENEDIS et EDF bénéficient de droits exclusifs consacrés par la législation nationale (article L111-52, L121-5 et L334-3 du code de l'énergie)</EXPLICATION>"
20-149451,False,False,False,True,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Article L 111-52 du Code de l'énergieArticle L 121-5 du Code de l'énergieArticle L 334-3 du Code de l'énergieArticle L 2224-31 du Code Général des Collectivités Territoriales </EXPLICATION>"
20-151976,False,False,False,True,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Article L. 111-52 du Code de l'énergieArticle L. 121-5 du Code de l'énergieArticle L. 334-3 du Code de l'énergieArticle L. 2224-31 du Code Générale des collectivités territoriales</EXPLICATION>"
20-152617,False,False,False,False,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Aucune offre appropriée n'a été déposée au cours de la procédure initiale (lot 5) /Dénonciation du contrat par l'attributaire (lot 7).</EXPLICATION>"
20-153998,False,False,False,False,,True,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">L'attributaire, la Société Publique Locale Haute-Marne Numérique, entretien avec le pouvoir adjudicateur un lien dit de quasi-régie au sens du code de la commande publique. Le pouvoir adjudicateur exerce sur la structure un contrôle analogue à celui qu'il exerce sur ses propres services.</EXPLICATION>"
20-154218,False,False,False,True,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">GRDF, société gestionnaire des réseaux publics de distribution de gaz naturel issue de la séparation entre les activités de gestion du réseau public de distribution et les activités de production ou de fourniture exercées par l'entreprise ENGIE en application de l'article L.111-57 du code de l'énergie, assure la gestion des réseaux publics de distribution de gaz dans la zone de desserte exclusive.</EXPLICATION>"
20-154905,False,False,False,True,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Le contrat ne relève pas du champ d'application de la directive.Enedis et EDF bénéficient de droits exclusifs consacrés par la législation nationale (articles L. 111-52, L. 121-5 et L. 334-3 du code de l'énergie)</EXPLICATION>"
20-157626,False,False,False,True,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Justification de l'attribution de la concession sans publication préalable : les travaux/services ne peuvent être fournis que par un opérateur économique déterminé pour la raison suivante : existence d'un droit exclusifL'article 14-1 de l'ordonnance no 2016-65 du 29.01.2016 Précise que l'ordonnance ne s'applique par pour les contrats conclus '... avec un opérateur économique lorsqu'il bénéficie d'un droit exclusif '. Or, GRDF dispose d'un monopole légal sur sa zone de desserte exclusive aux termes de l'article L.111-53 du code de l'énergie. En conséquence, une mise en concurrence n'est pas possible pour ce renouvellement. En revanche, ce même article prévoit bien que l'attribution d'un contrat de concession fondée sur un droit exclusif est soumise à une obligation de publicité.</EXPLICATION>"
20-158609,False,False,False,True,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">article L.111-52 du Code de l'énergiearticle L.121-5 du Code de l'énergiearticle L.334-3 du Code de l'énergiearticle L.2224-31 du Code Général des Collectivités Territoriales</EXPLICATION>"
20-159402,False,False,False,True,,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Le contrat ne relève pas du champ d'application de la directive car Enedis et EDF bénéficient de droits exclusifs consacrés par la législation nationale (articles L.111-52, L.121-5, L.334-3 du code de l'énergie.</EXPLICATION>"
